"Passenger","survived","passenger.class","gender","age","siblings.spouses.aboard","parents.children.aboard","family.size"
253,0,1,"male",62,0,0,1
254,0,3,"male",30,1,0,2
255,0,3,"female",41,0,2,3
256,1,3,"female",29,0,2,3
257,1,1,"female",29.6991176470588,0,0,1
258,1,1,"female",30,0,0,1
259,1,1,"female",35,0,0,1
260,1,2,"female",50,0,1,2
261,0,3,"male",29.6991176470588,0,0,1
262,1,3,"male",3,4,2,7
263,0,1,"male",52,1,1,3
264,0,1,"male",40,0,0,1
265,0,3,"female",29.6991176470588,0,0,1
266,0,2,"male",36,0,0,1
267,0,3,"male",16,4,1,6
268,1,3,"male",25,1,0,2
269,1,1,"female",58,0,1,2
270,1,1,"female",35,0,0,1
271,0,1,"male",29.6991176470588,0,0,1
272,1,3,"male",25,0,0,1
273,1,2,"female",41,0,1,2
274,0,1,"male",37,0,1,2
275,1,3,"female",29.6991176470588,0,0,1
276,1,1,"female",63,1,0,2
277,0,3,"female",45,0,0,1
278,0,2,"male",29.6991176470588,0,0,1
279,0,3,"male",7,4,1,6
280,1,3,"female",35,1,1,3
281,0,3,"male",65,0,0,1
282,0,3,"male",28,0,0,1
283,0,3,"male",16,0,0,1
284,1,3,"male",19,0,0,1
285,0,1,"male",29.6991176470588,0,0,1
286,0,3,"male",33,0,0,1
287,1,3,"male",30,0,0,1
288,0,3,"male",22,0,0,1
289,1,2,"male",42,0,0,1
290,1,3,"female",22,0,0,1
291,1,1,"female",26,0,0,1
292,1,1,"female",19,1,0,2
293,0,2,"male",36,0,0,1
294,0,3,"female",24,0,0,1
295,0,3,"male",24,0,0,1
296,0,1,"male",29.6991176470588,0,0,1
297,0,3,"male",23.5,0,0,1
298,0,1,"female",2,1,2,4
299,1,1,"male",29.6991176470588,0,0,1
300,1,1,"female",50,0,1,2
301,1,3,"female",29.6991176470588,0,0,1
302,1,3,"male",29.6991176470588,2,0,3
303,0,3,"male",19,0,0,1
304,1,2,"female",29.6991176470588,0,0,1
305,0,3,"male",29.6991176470588,0,0,1
306,1,1,"male",0.92,1,2,4
307,1,1,"female",29.6991176470588,0,0,1
308,1,1,"female",17,1,0,2
309,0,2,"male",30,1,0,2
310,1,1,"female",30,0,0,1
311,1,1,"female",24,0,0,1
312,1,1,"female",18,2,2,5
313,0,2,"female",26,1,1,3
314,0,3,"male",28,0,0,1
315,0,2,"male",43,1,1,3
316,1,3,"female",26,0,0,1
317,1,2,"female",24,1,0,2
318,0,2,"male",54,0,0,1
319,1,1,"female",31,0,2,3
320,1,1,"female",40,1,1,3
321,0,3,"male",22,0,0,1
322,0,3,"male",27,0,0,1
323,1,2,"female",30,0,0,1
324,1,2,"female",22,1,1,3
325,0,3,"male",29.6991176470588,8,2,11
326,1,1,"female",36,0,0,1
327,0,3,"male",61,0,0,1
328,1,2,"female",36,0,0,1
329,1,3,"female",31,1,1,3
330,1,1,"female",16,0,1,2
331,1,3,"female",29.6991176470588,2,0,3
332,0,1,"male",45.5,0,0,1
333,0,1,"male",38,0,1,2
334,0,3,"male",16,2,0,3
335,1,1,"female",29.6991176470588,1,0,2
336,0,3,"male",29.6991176470588,0,0,1
337,0,1,"male",29,1,0,2
338,1,1,"female",41,0,0,1
339,1,3,"male",45,0,0,1
340,0,1,"male",45,0,0,1
341,1,2,"male",2,1,1,3
342,1,1,"female",24,3,2,6
343,0,2,"male",28,0,0,1
344,0,2,"male",25,0,0,1
345,0,2,"male",36,0,0,1
346,1,2,"female",24,0,0,1
347,1,2,"female",40,0,0,1
348,1,3,"female",29.6991176470588,1,0,2
349,1,3,"male",3,1,1,3
350,0,3,"male",42,0,0,1
351,0,3,"male",23,0,0,1
352,0,1,"male",29.6991176470588,0,0,1
353,0,3,"male",15,1,1,3
354,0,3,"male",25,1,0,2
355,0,3,"male",29.6991176470588,0,0,1
356,0,3,"male",28,0,0,1
357,1,1,"female",22,0,1,2
358,0,2,"female",38,0,0,1
359,1,3,"female",29.6991176470588,0,0,1
360,1,3,"female",29.6991176470588,0,0,1
361,0,3,"male",40,1,4,6
362,0,2,"male",29,1,0,2
363,0,3,"female",45,0,1,2
364,0,3,"male",35,0,0,1
365,0,3,"male",29.6991176470588,1,0,2
366,0,3,"male",30,0,0,1
367,1,1,"female",60,1,0,2
368,1,3,"female",29.6991176470588,0,0,1
369,1,3,"female",29.6991176470588,0,0,1
370,1,1,"female",24,0,0,1
371,1,1,"male",25,1,0,2
372,0,3,"male",18,1,0,2
373,0,3,"male",19,0,0,1
374,0,1,"male",22,0,0,1
375,0,3,"female",3,3,1,5
376,1,1,"female",29.6991176470588,1,0,2
377,1,3,"female",22,0,0,1
378,0,1,"male",27,0,2,3
379,0,3,"male",20,0,0,1
380,0,3,"male",19,0,0,1
381,1,1,"female",42,0,0,1
382,1,3,"female",1,0,2,3
383,0,3,"male",32,0,0,1
384,1,1,"female",35,1,0,2
385,0,3,"male",29.6991176470588,0,0,1
386,0,2,"male",18,0,0,1
387,0,3,"male",1,5,2,8
388,1,2,"female",36,0,0,1
389,0,3,"male",29.6991176470588,0,0,1
390,1,2,"female",17,0,0,1
391,1,1,"male",36,1,2,4
392,1,3,"male",21,0,0,1
393,0,3,"male",28,2,0,3
394,1,1,"female",23,1,0,2
395,1,3,"female",24,0,2,3
396,0,3,"male",22,0,0,1
397,0,3,"female",31,0,0,1
398,0,2,"male",46,0,0,1
399,0,2,"male",23,0,0,1
400,1,2,"female",28,0,0,1
401,1,3,"male",39,0,0,1
402,0,3,"male",26,0,0,1
403,0,3,"female",21,1,0,2
404,0,3,"male",28,1,0,2
405,0,3,"female",20,0,0,1
406,0,2,"male",34,1,0,2
407,0,3,"male",51,0,0,1
408,1,2,"male",3,1,1,3
409,0,3,"male",21,0,0,1
410,0,3,"female",29.6991176470588,3,1,5
411,0,3,"male",29.6991176470588,0,0,1
412,0,3,"male",29.6991176470588,0,0,1
413,1,1,"female",33,1,0,2
414,0,2,"male",29.6991176470588,0,0,1
415,1,3,"male",44,0,0,1
416,0,3,"female",29.6991176470588,0,0,1
417,1,2,"female",34,1,1,3
418,1,2,"female",18,0,2,3
419,0,2,"male",30,0,0,1
420,0,3,"female",10,0,2,3
421,0,3,"male",29.6991176470588,0,0,1
422,0,3,"male",21,0,0,1
423,0,3,"male",29,0,0,1
424,0,3,"female",28,1,1,3
425,0,3,"male",18,1,1,3
426,0,3,"male",29.6991176470588,0,0,1
427,1,2,"female",28,1,0,2
428,1,2,"female",19,0,0,1
429,0,3,"male",29.6991176470588,0,0,1
430,1,3,"male",32,0,0,1
431,1,1,"male",28,0,0,1
432,1,3,"female",29.6991176470588,1,0,2
433,1,2,"female",42,1,0,2
434,0,3,"male",17,0,0,1
435,0,1,"male",50,1,0,2
436,1,1,"female",14,1,2,4
437,0,3,"female",21,2,2,5
438,1,2,"female",24,2,3,6
439,0,1,"male",64,1,4,6
440,0,2,"male",31,0,0,1
441,1,2,"female",45,1,1,3
442,0,3,"male",20,0,0,1
443,0,3,"male",25,1,0,2
444,1,2,"female",28,0,0,1
445,1,3,"male",29.6991176470588,0,0,1
446,1,1,"male",4,0,2,3
447,1,2,"female",13,0,1,2
448,1,1,"male",34,0,0,1
449,1,3,"female",5,2,1,4
450,1,1,"male",52,0,0,1
451,0,2,"male",36,1,2,4
452,0,3,"male",29.6991176470588,1,0,2
453,0,1,"male",30,0,0,1
454,1,1,"male",49,1,0,2
455,0,3,"male",29.6991176470588,0,0,1
456,1,3,"male",29,0,0,1
457,0,1,"male",65,0,0,1
458,1,1,"female",29.6991176470588,1,0,2
459,1,2,"female",50,0,0,1
460,0,3,"male",29.6991176470588,0,0,1
461,1,1,"male",48,0,0,1
462,0,3,"male",34,0,0,1
463,0,1,"male",47,0,0,1
464,0,2,"male",48,0,0,1
465,0,3,"male",29.6991176470588,0,0,1
466,0,3,"male",38,0,0,1
467,0,2,"male",29.6991176470588,0,0,1
468,0,1,"male",56,0,0,1
469,0,3,"male",29.6991176470588,0,0,1
470,1,3,"female",0.75,2,1,4
471,0,3,"male",29.6991176470588,0,0,1
472,0,3,"male",38,0,0,1
473,1,2,"female",33,1,2,4
474,1,2,"female",23,0,0,1
475,0,3,"female",22,0,0,1
476,0,1,"male",29.6991176470588,0,0,1
477,0,2,"male",34,1,0,2
478,0,3,"male",29,1,0,2
479,0,3,"male",22,0,0,1
480,1,3,"female",2,0,1,2
481,0,3,"male",9,5,2,8
482,0,2,"male",29.6991176470588,0,0,1
483,0,3,"male",50,0,0,1
484,1,3,"female",63,0,0,1
485,1,1,"male",25,1,0,2
486,0,3,"female",29.6991176470588,3,1,5
487,1,1,"female",35,1,0,2
488,0,1,"male",58,0,0,1
489,0,3,"male",30,0,0,1
490,1,3,"male",9,1,1,3
491,0,3,"male",29.6991176470588,1,0,2
492,0,3,"male",21,0,0,1
493,0,1,"male",55,0,0,1
494,0,1,"male",71,0,0,1
495,0,3,"male",21,0,0,1
496,0,3,"male",29.6991176470588,0,0,1
497,1,1,"female",54,1,0,2
498,0,3,"male",29.6991176470588,0,0,1
499,0,1,"female",25,1,2,4
500,0,3,"male",24,0,0,1
501,0,3,"male",17,0,0,1
502,0,3,"female",21,0,0,1
503,0,3,"female",29.6991176470588,0,0,1
504,0,3,"female",37,0,0,1
505,1,1,"female",16,0,0,1
506,0,1,"male",18,1,0,2
507,1,2,"female",33,0,2,3
508,1,1,"male",29.6991176470588,0,0,1
509,0,3,"male",28,0,0,1
510,1,3,"male",26,0,0,1
511,1,3,"male",29,0,0,1
512,0,3,"male",29.6991176470588,0,0,1
513,1,1,"male",36,0,0,1
514,1,1,"female",54,1,0,2
515,0,3,"male",24,0,0,1
516,0,1,"male",47,0,0,1
517,1,2,"female",34,0,0,1
518,0,3,"male",29.6991176470588,0,0,1
519,1,2,"female",36,1,0,2
520,0,3,"male",32,0,0,1
521,1,1,"female",30,0,0,1
522,0,3,"male",22,0,0,1
523,0,3,"male",29.6991176470588,0,0,1
524,1,1,"female",44,0,1,2
525,0,3,"male",29.6991176470588,0,0,1
526,0,3,"male",40.5,0,0,1
527,1,2,"female",50,0,0,1
528,0,1,"male",29.6991176470588,0,0,1
529,0,3,"male",39,0,0,1
530,0,2,"male",23,2,1,4
531,1,2,"female",2,1,1,3
532,0,3,"male",29.6991176470588,0,0,1
533,0,3,"male",17,1,1,3
534,1,3,"female",29.6991176470588,0,2,3
535,0,3,"female",30,0,0,1
536,1,2,"female",7,0,2,3
537,0,1,"male",45,0,0,1
538,1,1,"female",30,0,0,1
539,0,3,"male",29.6991176470588,0,0,1
540,1,1,"female",22,0,2,3
541,1,1,"female",36,0,2,3
542,0,3,"female",9,4,2,7
543,0,3,"female",11,4,2,7
544,1,2,"male",32,1,0,2
545,0,1,"male",50,1,0,2
546,0,1,"male",64,0,0,1
547,1,2,"female",19,1,0,2
548,1,2,"male",29.6991176470588,0,0,1
549,0,3,"male",33,1,1,3
550,1,2,"male",8,1,1,3
551,1,1,"male",17,0,2,3
552,0,2,"male",27,0,0,1
553,0,3,"male",29.6991176470588,0,0,1
554,1,3,"male",22,0,0,1
555,1,3,"female",22,0,0,1
556,0,1,"male",62,0,0,1
557,1,1,"female",48,1,0,2
558,0,1,"male",29.6991176470588,0,0,1
559,1,1,"female",39,1,1,3
560,1,3,"female",36,1,0,2
561,0,3,"male",29.6991176470588,0,0,1
562,0,3,"male",40,0,0,1
563,0,2,"male",28,0,0,1
564,0,3,"male",29.6991176470588,0,0,1
565,0,3,"female",29.6991176470588,0,0,1
566,0,3,"male",24,2,0,3
567,0,3,"male",19,0,0,1
568,0,3,"female",29,0,4,5
569,0,3,"male",29.6991176470588,0,0,1
570,1,3,"male",32,0,0,1
571,1,2,"male",62,0,0,1
572,1,1,"female",53,2,0,3
573,1,1,"male",36,0,0,1
574,1,3,"female",29.6991176470588,0,0,1
575,0,3,"male",16,0,0,1
576,0,3,"male",19,0,0,1
577,1,2,"female",34,0,0,1
578,1,1,"female",39,1,0,2
579,0,3,"female",29.6991176470588,1,0,2
580,1,3,"male",32,0,0,1
581,1,2,"female",25,1,1,3
582,1,1,"female",39,1,1,3
583,0,2,"male",54,0,0,1
584,0,1,"male",36,0,0,1
585,0,3,"male",29.6991176470588,0,0,1
586,1,1,"female",18,0,2,3
587,0,2,"male",47,0,0,1
588,1,1,"male",60,1,1,3
589,0,3,"male",22,0,0,1
590,0,3,"male",29.6991176470588,0,0,1
591,0,3,"male",35,0,0,1
592,1,1,"female",52,1,0,2
593,0,3,"male",47,0,0,1
594,0,3,"female",29.6991176470588,0,2,3
595,0,2,"male",37,1,0,2
596,0,3,"male",36,1,1,3
597,1,2,"female",29.6991176470588,0,0,1
598,0,3,"male",49,0,0,1
599,0,3,"male",29.6991176470588,0,0,1
600,1,1,"male",49,1,0,2
601,1,2,"female",24,2,1,4
602,0,3,"male",29.6991176470588,0,0,1
603,0,1,"male",29.6991176470588,0,0,1
604,0,3,"male",44,0,0,1
605,1,1,"male",35,0,0,1
606,0,3,"male",36,1,0,2
607,0,3,"male",30,0,0,1
608,1,1,"male",27,0,0,1
609,1,2,"female",22,1,2,4
610,1,1,"female",40,0,0,1
611,0,3,"female",39,1,5,7
612,0,3,"male",29.6991176470588,0,0,1
613,1,3,"female",29.6991176470588,1,0,2
614,0,3,"male",29.6991176470588,0,0,1
615,0,3,"male",35,0,0,1
616,1,2,"female",24,1,2,4
617,0,3,"male",34,1,1,3
618,0,3,"female",26,1,0,2
619,1,2,"female",4,2,1,4
620,0,2,"male",26,0,0,1
621,0,3,"male",27,1,0,2
622,1,1,"male",42,1,0,2
623,1,3,"male",20,1,1,3
624,0,3,"male",21,0,0,1
625,0,3,"male",21,0,0,1
626,0,1,"male",61,0,0,1
627,0,2,"male",57,0,0,1
628,1,1,"female",21,0,0,1
629,0,3,"male",26,0,0,1
630,0,3,"male",29.6991176470588,0,0,1
631,1,1,"male",80,0,0,1
632,0,3,"male",51,0,0,1
633,1,1,"male",32,0,0,1
634,0,1,"male",29.6991176470588,0,0,1
635,0,3,"female",9,3,2,6
636,1,2,"female",28,0,0,1
637,0,3,"male",32,0,0,1
638,0,2,"male",31,1,1,3
639,0,3,"female",41,0,5,6
640,0,3,"male",29.6991176470588,1,0,2
641,0,3,"male",20,0,0,1
642,1,1,"female",24,0,0,1
643,0,3,"female",2,3,2,6
644,1,3,"male",29.6991176470588,0,0,1
645,1,3,"female",0.75,2,1,4
646,1,1,"male",48,1,0,2
647,0,3,"male",19,0,0,1
648,1,1,"male",56,0,0,1
649,0,3,"male",29.6991176470588,0,0,1
650,1,3,"female",23,0,0,1
651,0,3,"male",29.6991176470588,0,0,1
652,1,2,"female",18,0,1,2
653,0,3,"male",21,0,0,1
654,1,3,"female",29.6991176470588,0,0,1
655,0,3,"female",18,0,0,1
656,0,2,"male",24,2,0,3
657,0,3,"male",29.6991176470588,0,0,1
658,0,3,"female",32,1,1,3
659,0,2,"male",23,0,0,1
660,0,1,"male",58,0,2,3
661,1,1,"male",50,2,0,3
662,0,3,"male",40,0,0,1
663,0,1,"male",47,0,0,1
664,0,3,"male",36,0,0,1
665,1,3,"male",20,1,0,2
666,0,2,"male",32,2,0,3
667,0,2,"male",25,0,0,1
668,0,3,"male",29.6991176470588,0,0,1
669,0,3,"male",43,0,0,1
670,1,1,"female",29.6991176470588,1,0,2
671,1,2,"female",40,1,1,3
672,0,1,"male",31,1,0,2
673,0,2,"male",70,0,0,1
674,1,2,"male",31,0,0,1
675,0,2,"male",29.6991176470588,0,0,1
676,0,3,"male",18,0,0,1
677,0,3,"male",24.5,0,0,1
678,1,3,"female",18,0,0,1
679,0,3,"female",43,1,6,8
680,1,1,"male",36,0,1,2
681,0,3,"female",29.6991176470588,0,0,1
682,1,1,"male",27,0,0,1
683,0,3,"male",20,0,0,1
684,0,3,"male",14,5,2,8
685,0,2,"male",60,1,1,3
686,0,2,"male",25,1,2,4
687,0,3,"male",14,4,1,6
688,0,3,"male",19,0,0,1
689,0,3,"male",18,0,0,1
690,1,1,"female",15,0,1,2
691,1,1,"male",31,1,0,2
692,1,3,"female",4,0,1,2
693,1,3,"male",29.6991176470588,0,0,1
694,0,3,"male",25,0,0,1
695,0,1,"male",60,0,0,1
696,0,2,"male",52,0,0,1
697,0,3,"male",44,0,0,1
698,1,3,"female",29.6991176470588,0,0,1
699,0,1,"male",49,1,1,3
700,0,3,"male",42,0,0,1
701,1,1,"female",18,1,0,2
702,1,1,"male",35,0,0,1
703,0,3,"female",18,0,1,2
704,0,3,"male",25,0,0,1
705,0,3,"male",26,1,0,2
706,0,2,"male",39,0,0,1
707,1,2,"female",45,0,0,1
708,1,1,"male",42,0,0,1
709,1,1,"female",22,0,0,1
710,1,3,"male",29.6991176470588,1,1,3
711,1,1,"female",24,0,0,1
712,0,1,"male",29.6991176470588,0,0,1
713,1,1,"male",48,1,0,2
714,0,3,"male",29,0,0,1
715,0,2,"male",52,0,0,1
716,0,3,"male",19,0,0,1
717,1,1,"female",38,0,0,1
718,1,2,"female",27,0,0,1
719,0,3,"male",29.6991176470588,0,0,1
720,0,3,"male",33,0,0,1
721,1,2,"female",6,0,1,2
722,0,3,"male",17,1,0,2
723,0,2,"male",34,0,0,1
724,0,2,"male",50,0,0,1
725,1,1,"male",27,1,0,2
726,0,3,"male",20,0,0,1
727,1,2,"female",30,3,0,4
728,1,3,"female",29.6991176470588,0,0,1
729,0,2,"male",25,1,0,2
730,0,3,"female",25,1,0,2
731,1,1,"female",29,0,0,1
732,0,3,"male",11,0,0,1
733,0,2,"male",29.6991176470588,0,0,1
734,0,2,"male",23,0,0,1
735,0,2,"male",23,0,0,1
736,0,3,"male",28.5,0,0,1
737,0,3,"female",48,1,3,5
738,1,1,"male",35,0,0,1
739,0,3,"male",29.6991176470588,0,0,1
740,0,3,"male",29.6991176470588,0,0,1
741,1,1,"male",29.6991176470588,0,0,1
742,0,1,"male",36,1,0,2
743,1,1,"female",21,2,2,5
744,0,3,"male",24,1,0,2
745,1,3,"male",31,0,0,1
746,0,1,"male",70,1,1,3
747,0,3,"male",16,1,1,3
748,1,2,"female",30,0,0,1
749,0,1,"male",19,1,0,2
750,0,3,"male",31,0,0,1
751,1,2,"female",4,1,1,3
752,1,3,"male",6,0,1,2
753,0,3,"male",33,0,0,1
754,0,3,"male",23,0,0,1
755,1,2,"female",48,1,2,4
756,1,2,"male",0.67,1,1,3
757,0,3,"male",28,0,0,1
758,0,2,"male",18,0,0,1
759,0,3,"male",34,0,0,1
760,1,1,"female",33,0,0,1
761,0,3,"male",29.6991176470588,0,0,1
